AUX 4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Punch No,System,Subsystem,Location / Area,Tag/Drawing/Line/Cable No.,Punch Description,Punch Category,Discipline,Action by,Originator,Issued Date,Closed Date,Punch Type,Note,Remarks,Submit to Owner,Punch Comment,File,RFI No,Report No.(Old),Target Date,Scope of Punch
.,28175,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Lightning protection bare copper tape and lightning air terminal  to be installed.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,2023-05-16,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28176,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Earth rod with Test well for lightning protection to be installed .,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,2023-05-16,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28177,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Earthing resistance test to be done protocol to be submitted.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28178,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Illumination test to be done and protocol to be submitted.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28179,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-900-ELE-DLP-06007,"Smoke detectors, Fire Beacon, Remote Indicator,Power suppl unit, Manual call point, Alarm Pushbutton and Transponder I/O module box to be installed and oficially Inspection to be carried out.",C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28180,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-900-ELE-DLP-06007,Fire alarm Cable pulling and termination to be done and oficial inspection to be carried out.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28181,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-900-ELE-DLP-06007,Fire Alarm Sat to be done,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28182,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-1000-INC-DLP-00214,Telecommunication system installation to be done and official inspection to be carried out.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,2023-06-16,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28183,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-1000-INC-DLP-00214,Telcommunication SAT to be done,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28184,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-1000-INC-DLP-00314,PAGA System installation to be done and official inspection to be carried out.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,2023-06-16,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28185,800.00,1304-12-17,Guard House (1000-GH-48),EGAT-HEC-1000-INC-DLP-00314,PAGA SAT to be done,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,EGAT-RFI-AR-GS-06561.01,800.00,1304-12-17,1000-GH-48,Slab BS1,Electrical conduits need to be removed from beam RW1,C,EL,HEC EL Construction,Mr. Wojciech Grabowski,2022-08-26,,Construction,,,,SCAN CAT,V,EGAT-RFI-AR-GS-06561,,,Construction
.,EGAT-RFI-AR-GS-07626.01,800.00,1304-12-17,1000-GH-48,-,Correct the slope near the north wall,C,AR,HEC AR Construction,Mr. Sławomir Nasiłowski,2023-02-24,,Construction,,,,,,EGAT-RFI-AR-GS-07626,,,Construction
.,EGAT-RFI-AR-GS-07646.01,800.00,1304-12-17,1000-GH-48,-,Top column to be repaired,C,AR,HEC AR Construction,Mr. Sławomir Nasiłowski,2023-03-06,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07813.01,800.00,1304-12-17,1000-GH-48,-,Add plaster under facade elements,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-04-11,2023-04-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-07813.02,800.00,1304-12-17,1000-GH-48,-,Finish facade by ground,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-04-11,2023-04-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-07813.03,800.00,1304-12-17,1000-GH-48,-,Windows opening to be checked after plastic cover removal,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-04-11,2023-04-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-07818.01,800.00,1304-12-17,1000-GH-48,-,Part of walls assembled with 2 layers,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07818.02,800.00,1304-12-17,1000-GH-48,-,Rigips approval required,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07819.01,800.00,1304-12-17,1000-GH-48,-,Rigips opinion required approval,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07820.01,800.00,1304-12-17,1000-GH-48,-,A part of walls assembled with 2 layers,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07820.02,800.00,1304-12-17,1000-GH-48,-,Rigips approval rewuired,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07822.01,800.00,1304-12-17,1000-GH-48,-,First layer of gympsum boards need approval from vendor,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-28,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07828.01,800.00,1304-12-17,1000-GH-48,-,Skirting to be done,C,AR,HEC AR Construction,Mr. Slawomir Nasilowski,2023-04-17,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-07971.01,800.00,1304-12-17,1000-GH-48,-,Scratches and touch ups,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07971.02,800.00,1304-12-17,1000-GH-48,-,Dooors need to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07971.03,800.00,1304-12-17,1000-GH-48,-,Hinges to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07971.04,800.00,1304-12-17,1000-GH-48,-,Seals need to be improved,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07971.05,800.00,1304-12-17,1000-GH-48,-,Doors dents,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07971.06,800.00,1304-12-17,1000-GH-48,-,Surface pointing imperfections on the frame,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07972.01,800.00,1304-12-17,1000-GH-48,-,Room 3- touch ups done,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-07972.02,800.00,1304-12-17,1000-GH-48,-,Room 4- doors and frame painted with epoxy,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-22,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08010.01,800.00,1304-12-17,1000-GH-48,-,Tapes to be removed,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08010.02,800.00,1304-12-17,1000-GH-48,-,Electrical equipment should be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08010.03,800.00,1304-12-17,1000-GH-48,-,Cable hole should be repaired,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08013.01,800.00,1304-12-17,1000-GH-48,-,Cables and equipment should be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-16,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08014.01,800.00,1304-12-17,1000-GH-48,-,Cables and equipment should be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-16,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08014.02,800.00,1304-12-17,1000-GH-48,-,Hydraulic connections don't fit well,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-16,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08016.01,800.00,1304-12-17,1000-GH-48,-,Unused electrical holes to be covered,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-20,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08018.01,800.00,1304-12-17,1000-GH-48,-,Panel boards ans A/C equipment to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08019.01,800.00,1304-12-17,1000-GH-48,-,Ceiling should be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08020.01,800.00,1304-12-17,1000-GH-48,-,Panel boeards and A/C equipment,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08021.01,800.00,1304-12-17,1000-GH-48,-,"Panels to be cleaned, profiles to be adjusted",C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-09,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08022.01,800.00,1304-12-17,1000-GH-48,-,"Panels to be cleaned, profiles to be adjusted",C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-09,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08024.01,800.00,1304-12-17,1000-GH-48,-,Panels and profiles to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-20,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08025.01,800.00,1304-12-17,1000-GH-48,-,Panels to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-17,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08025.02,800.00,1304-12-17,1000-GH-48,-,Protiles to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-17,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08027.01,800.00,1304-12-17,1000-GH-48,-,Doors to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-20,2023-06-21,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08027.02,800.00,1304-12-17,1000-GH-48,-,Doors handle cover to be repaired,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-20,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08027.03,800.00,1304-12-17,1000-GH-48,-,Plastic cover to be removed,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-20,2023-06-21,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08038.01,800.00,1304-12-17,1000-GH-48,-,Windows to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08038.02,800.00,1304-12-17,1000-GH-48,-,Scratch on the window between rooms 2 & 1,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08038.03,800.00,1304-12-17,1000-GH-48,-,Windows to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08039.01,800.00,1304-12-17,1000-GH-48,-,Paint coat damage,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-07,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08039.02,800.00,1304-12-17,1000-GH-48,-,Plastic cover to be removed,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-07,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08039.03,800.00,1304-12-17,1000-GH-48,-,Frame top bolt to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-07,2023-06-21,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08071.01,800.00,1304-12-17,1000-GH-48,-,Sealant to be finished,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-05-31,2023-06-01,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08075.01,800.00,1304-12-17,1000-GH-48,-,"Tape to be removed, to be cleaned, sealant to be finished",C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-01,2023-06-21,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08087.01,800.00,1304-12-17,1000-GH-48,-,Tiles to be exchanged above third doors,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-07,2023-06-16,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08095.01,800.00,1304-12-17,1000-GH-48,-,Sealant to be improved,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-05-31,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08096.0,800.00,1304-12-17,1000-GH-48,-,Verticaal chaamfering to be done,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-09,2023-06-14,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08096.01,800.00,1304-12-17,1000-GH-48,-,To finished behind cable support foundation-east side,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-09,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08097.01,800.00,1304-12-17,1000-GH-48,-,Dilatation between building and stoops to be finished,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-05-31,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08133.01,800.00,1304-12-17,1000-GH-48,-,Windows to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08133.02,800.00,1304-12-17,1000-GH-48,-,Seal to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08133.03,800.00,1304-12-17,1000-GH-48,-,Windows to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08135.01,800.00,1304-12-17,1000-GH-48,-,Windows to be cleaned,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08135.02,800.00,1304-12-17,1000-GH-48,-,Seals to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08135.03,800.00,1304-12-17,1000-GH-48,-,Windows to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-13,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08136.01,800.00,1304-12-17,1000-GH-48,-,Frame scratched,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-15,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08136.02,800.00,1304-12-17,1000-GH-48,-,Glass scratched,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-15,,Construction,,,,,,,,,Construction
.,EGAT-RFI-AR-GS-08136.03,800.00,1304-12-17,1000-GH-48,-,Window to be adjusted,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-15,2023-06-20,Construction,,,,,V,,,,Construction
.,EGAT-RFI-AR-GS-08136.04,800.00,1304-12-17,1000-GH-48,-,Corrossion on frame,C,AR,HEC AR Construction,Mr. Andrzej Misiek,2023-06-15,,Construction,,,,,,,,,Construction
.,EGAT-RFI-CI-CW-05426.01,800.00,1304-12-17,STORAGE BUILDING AND GUARD HOUSE,EGAT-HEC-300-INC-DWG-00007_Z0,AFTER TERMINATION COMPLETE CONTINUITY AND IR TEST TO BE DONE (55),C,CI,CW Construction,Mr. Paweł Rogoziński,2023-01-31,2023-04-12,,,,,,V,,,,Construction
.,EGAT-RFI-CI-CW-05426.02,800.00,1304-12-17,STORAGE BUILDING AND GUARD HOUSE,EGAT-HEC-300-INC-DWG-00007_Z0,AFTER TERMINATION COMPLETE CONTINUITY AND IR TEST TO BE DONE (55),C,CI,CW Construction,Mr. Paweł Rogoziński,2023-01-31,2023-04-12,,,,,,V,,,,Construction
.,EGAT-RFI-CI-CW-05905.01,800.00,1304-12-17,Aux Guard house building ,EGAT-HEC -600-INC-TDS-00052_Z0,Alarm pre,C,CI,HEC CI Construction,Mr. Paweł Rogoziński,2023-03-08,2023-04-24,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-04971.01,800.00,1304-12-17,1000-GH-44-PPL,EGAT-HEC-400-ELE-DWG-00006_4,Drawing should be updated in the next revision,C,EL,HEC EL Design,Mr. Adam Siewiorek,2022-10-27,2023-05-16,,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07146.01,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,"Fire Alarm Devivce Tag should be Provide (Fire Beaco, Horn, et..)",C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07146.02,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,Missing 1000-GH-IP-0005 Should be install and complete cable Connection.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07146.03,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,CNBOP Sticker should be install for Fire Device.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07146.04,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,SAT should be done. ,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07147.01,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,Missing Cable Tag should be provide,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07147.02,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,Paint remove from the Cable and Clean. ,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07147.03,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-06007_Z0,Reming Cable Connection should be complete,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07149.01,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-05008_Z0,Earthing Connection should be provide for Lighting Cable Tray.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-06-20,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07149.02,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-05008_Z0,CNBOP Lighting Junction box blind plugs to be install.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-06-20,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07149.03,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-ELE-DLP-05008_Z0,Lighting Switch screw end plugs should be provided.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-06-20,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07151.01,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-INC-DLP-50214_Z0,Security Cabinet Roof should change or repair.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07151.02,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-INC-DLP-50214_Z0,Fuse or Others Device tag should be provide inside the Cabinet.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07151.03,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-INC-DLP-50214_Z0,Missing Device should be nstall inside the Cabinet.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07151.04,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-INC-DLP-50214_Z0,Inside the Cabinet cleaning must be done before SAT.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,,Construction,,,,,V,,,,Construction
.,EGAT-RFI-EL-SB-07151.05,800.00,1304-12-17,Guard House-48,EGAT-HEC-1000-INC-DLP-50214_Z0,Cable Tag should be provide for Outside Camera.,C,EL,HEC EL Construction,Mr. Adam Zbroja,2023-06-22,2023-06-23,Construction,,,,,V,,,,Construction
